ID,HPRICE1,HSIZE,HNBATHR,HFLOOR,BUILDY,RILAK,NSCDIS,NPARK,URSUB,D_PMSP,D_PCBD,D_PRAILS
5651,8510,143.45,2,4,2009,0,0,0,0,827.4998933,2142,3067.509
5652,8510,135.05,2,4,2009,0,0,0,0,854.8571798,2162,3087.228
5655,8600,141.65,2,3,2009,0,0,0,2,884.5115253,2183,3108.531
5659,9930,143.43,2,4,2009,0,0,0,0,915.5762356,2205,3130.942
5661,8280,134.48,2,2,2009,0,0,0,0,1004.897298,2270,3195.228
5663,8600,142.33,2,3,2009,0,0,0,0,961.9973836,2239,3164.322
5664,9330,134.48,2,5,2009,0,0,0,0,989.5981446,2259,3184.22
5665,9080,134.48,2,2,2009,0,0,0,2,993.2148694,2261,3186.818
5666,11720,144.58,2,3,2009,0,0,0,2,976.5864341,2249,3174.84
5667,12020,191.67,3,3,2009,0,0,0,0,980.1591641,2252,3177.387
5671,9750,142.33,2,2,2009,0,0,0,0,858.6155589,2164,3089.896
5672,8970,143.3,2,5,2009,0,0,0,0,862.1225868,2167,3092.407
5674,11060,137.79,2,6,2009,0,0,0,0,779.9620766,1676,2601.162
5675,11060,138.49,2,3,2009,0,0,0,0,765.7621873,1679,2604.264
5677,11050,136.56,2,7,2009,0,0,0,2,795.3848607,1648,2573.609
5678,11070,142.53,2,4,2009,0,0,0,0,782.1116864,1652,2578.067
5679,11050,137.97,2,6,2009,0,0,0,0,760.0772168,1717,2642.589
5681,11060,137.79,2,5,2009,0,0,0,0,745.8195577,1515,2440.489
5682,11050,142.46,2,2,2009,0,0,0,0,733.1978525,1515,2440.479
5685,10950,136.05,2,7,2009,0,0,0,0,659.2235391,1486,2411.219
5689,12420,138.3,2,7,2010,0,0,0,0,576.1990485,1500,2425.698
5690,11180,137,2,1,2010,0,0,0,0,561.618643,1496,2421.947
5695,6250,102.54,1,3,2009,0,0,0,2,4669.76413,3242,2753.952
5696,6510,85.61,1,5,2009,0,0,0,0,4757.419468,3617,3180.445
5698,6930,87.64,1,4,2009,0,0,0,2,4791.533184,3590,3153.324
5700,6930,76.84,1,5,2009,0,0,0,0,4762.157193,3610,3173.58
5701,7190,76.84,1,3,2009,0,0,0,2,4759.386858,3612,3174.849
5702,7350,76.84,1,1,2010,0,0,0,0,4772.959283,3601,3164.235
5703,7130,102.54,1,1,2010,0,0,0,0,4746.47202,3620,3183.287
5704,7150,87.64,1,6,2010,0,0,0,0,4733.05456,3290,2801.573
