ID,N_type,Gender,Age,Stay,H_type,Education,Employ,F_income
228,4,1,66,8,1,1,3,4
229,2,2,30,1,2,2,1,3
230,2,1,30,5,2,3,1,3
231,2,1,34,34,1,3,1,3
232,2,2,23,10,2,1,2,3
233,2,2,28,unknown,1,3,1,3
234,2,1,28,6,1,3,1,4
235,2,2,45,1,2,1,1,2
236,2,1,67,67,1,3,3,5
237,2,1,67,67,1,1,3,2
238,2,1,30,1,1,1,1,3
239,2,1,68,68,1,1,3,2
240,2,2,44,2,2,2,1,2
241,2,1,25,1,2,3,1,5
274,4,1,41,13,1,3,1,4
275,4,1,60,25,1,2,3,2
276,4,2,27,5,1,3,1,6
277,4,1,61,2,1,2,3,2
278,4,2,50,2,2,1,1,1
279,4,1,60,60,1,2,3,3
280,4,2,62,3,1,1,2,5
281,4,1,67,67,1,1,3,5
282,4,1,55,55,1,3,1,6
283,4,2,33,7,1,3,1,3
284,4,1,62,10,2,1,3,1
285,4,2,35,45,2,3,1,3
287,4,1,33,33,1,3,1,6
288,4,1,38,38,1,4,1,5
289,4,2,32,10,1,3,1,5
290,4,1,50,35,1,3,1,4
291,4,2,29,3,2,3,1,4
292,4,1,64,1.5,1,2,3,6
293,4,1,27,8,2,3,1,5
294,4,2,30,8,1,3,1,5
295,4,2,38,12,1,3,2,5
296,4,1,65,9,1,1,3,2
297,4,1,52,30,1,2,1,4
298,4,1,31,2,2,3,1,5
299,4,2,28,28,2,2,2,4
300,4,1,76,25,1,2,3,2
301,2,1,33,8,2,3,1,2
302,2,2,30,1,2,2,1,5
303,2,2,76,76,1,1,2,2
304,2,1,62,3,2,1,2,3
305,2,2,30,5,2,3,2,6
306,2,2,50,10,2,1,2,1
307,2,1,28,8,2,2,1,3
309,2,2,29,3,2,1,1,4
310,2,2,50,50,1,1,2,1
311,4,2,47,15,1,1,1,2
312,4,1,70,8,1,2,3,3
313,4,2,63,63,1,3,3,2
314,2,1,53,53,1,1,1,2
315,2,1,67,67,1,1,3,1
318,3,2,29,7,2,3,1,3
319,3,1,48,48,1,3,1,4
320,3,1,45,45,1,3,1,4
321,3,2,32,7,2,2,1,4
322,3,1,52,52,1,2,1,6
323,3,2,25,25,1,3,1,5
324,3,1,39,39,1,3,1,6
325,3,2,24,24,1,3,2,5
326,3,2,32,32,2,3,1,3
327,3,1,59,42,1,2,3,4
328,3,2,49,49,1,3,1,5
329,3,2,73,73,1,1,3,1
330,3,1,51,51,1,2,1,4
331,3,2,26,7,2,3,1,5
332,3,1,82,82,1,3,3,1
333,3,1,28,9,2,3,1,5
334,3,1,62,62,1,1,3,1
335,3,1,76,76,1,1,3,1
336,3,2,24,24,1,3,1,5
337,3,2,27,2,2,3,1,2
343,1,2,30,30,1,4,1,6
344,1,1,85,85,1,2,3,2
345,1,2,57,57,1,1,3,3
346,1,2,26,2,2,3,1,5
347,1,2,30,30,1,3,1,4
348,1,2,68,68,1,1,3,3
349,1,1,36,36,1,3,1,5
350,1,1,31,unknown,1,3,1,5
351,1,1,42,13,1,3,1,4
352,1,1,25,25,1,3,1,3
353,1,2,40,18,2,1,1,2
354,1,1,57,18,2,1,1,2
355,1,1,49,7,2,1,2,1
356,1,1,52,3,2,1,2,1
357,1,2,60,60,1,1,3,2
358,1,2,50,8,2,1,2,1
359,1,2,86,86,1,1,3,1
360,1,1,69,20,2,1,2,1
364,2,1,24,24,1,3,1,3
365,2,2,28,10,2,2,1,2
366,2,1,45,45,1,2,1,3
367,2,1,25,1,2,3,1,4
368,2,1,26,2,2,3,1,4
369,2,1,28,2,2,1,1,4
370,2,2,22,1,2,3,1,3
371,2,1,29,2,2,3,1,6
372,2,1,24,6,2,3,1,3
373,2,1,54,54,1,1,3,5
378,2,1,53,12,2,2,2,1
379,2,1,28,4,2,3,1,6
380,2,2,27,3,2,2,1,4
381,2,2,30,30,1,3,1,5
383,2,1,34,34,1,3,1,4
384,2,2,24,2,2,1,1,1
386,2,1,28,1,2,1,1,1
387,2,1,34,6,2,2,1,4
388,2,2,26,3,1,3,1,3
389,2,1,68,68,1,3,2,1
402,3,2,25,3,2,3,1,2
404,3,1,36,10,1,4,1,6
405,3,1,28,5,2,4,1,6
406,3,1,59,5,1,1,1,6
407,3,1,35,11,1,4,1,6
409,3,1,35,12,1,4,1,5
410,2,2,30,6,1,1,1,1
411,2,2,53,19,2,1,3,2
413,2,2,63,63,1,1,2,1
414,2,1,50,30,1,1,1,2
415,2,2,29,2,2,3,2,1
433,4,2,45,20,1,3,1,4
434,4,2,50,25,1,4,1,5
435,4,2,70,40,1,3,3,2
436,4,1,52,26,1,3,1,3
437,4,1,42,19,1,4,1,6
439,4,2,33,15,1,3,1,3
440,4,2,57,1,2,2,3,1
441,4,2,23,1,2,3,1,6
442,4,2,50,25,2,3,2,5
443,4,1,48,20,1,2,1,4
444,4,2,37,20,1,3,1,6
446,4,1,48,30,1,4,1,5
447,4,1,65,65,1,2,3,4
448,4,1,35,12,1,3,1,5
449,4,2,76,6,1,1,3,4
450,4,1,52,52,1,2,1,4
451,4,2,35,35,1,3,1,6
452,4,2,60,60,1,1,3,2
453,3,1,78,55,1,3,3,2
454,3,1,86,68,1,3,3,1
455,3,2,18,18,1,3,2,3
456,3,2,81,50,1,3,3,5
457,3,1,82,82,1,1,3,2
458,3,1,80,60,1,1,3,2
459,3,2,22,5,2,4,1,6
460,3,2,22,3,2,3,2,1
461,3,2,23,23,2,3,1,3
462,3,2,35,35,1,4,1,4
463,3,2,45,5,1,3,3,1
464,3,2,21,4,2,3,2,2
465,3,2,36,18,1,4,1,5
466,3,2,61,61,1,3,3,4
467,3,1,30,5,2,4,1,1
468,3,1,24,6,1,3,1,3
469,3,2,48,1,2,3,2,2
470,3,2,21,4,2,3,2,1
471,3,1,37,17,1,4,1,6
472,3,2,30,1,2,3,1,5
473,3,1,54,36,1,3,1,5
474,3,2,34,12,1,3,1,2
475,3,2,44,10,1,4,1,5
476,3,1,27,18,2,2,1,2
477,3,2,45,24,1,4,1,4
478,3,2,47,47,1,3,3,4
479,3,2,24,2,2,1,1,5
481,3,1,28,4,2,3,1,3
483,3,1,70,10,1,1,3,4
484,3,2,82,60,1,2,3,3
485,3,1,86,55,1,3,3,2
486,3,2,88,79,1,1,3,1
487,3,2,70,70,1,2,3,1
488,3,1,84,84,1,1,3,1
489,3,2,50,50,1,2,1,3
490,4,1,34,1,2,3,1,3
500,4,2,70,25,1,1,3,3
501,4,1,70,70,1,2,3,1
502,4,2,79,79,2,1,3,2
507,2,1,50,1,2,2,1,2
508,2,2,72,72,1,3,3,1
509,2,1,53,8,1,2,2,1
510,2,2,32,32,1,3,2,3
539,1,1,32,32,1,3,1,4
540,1,2,47,47,1,2,3,2
541,1,1,76,76,1,2,3,3
542,1,1,36,15,2,1,1,4
543,1,1,53,53,1,2,1,3
544,1,2,55,55,1,2,3,3
545,1,2,29,10,1,3,1,4
546,1,1,40,5,1,4,1,4
547,1,2,42,42,1,3,1,4
548,1,2,36,36,1,4,1,5
549,1,1,67,46,1,3,3,4
550,1,2,67,67,1,1,3,2
551,1,1,34,34,1,3,1,5
552,1,1,61,1,1,2,3,2
553,1,1,55,1,1,3,1,6
554,1,2,62,62,2,3,3,2
555,1,1,80,20,1,3,3,3
556,1,1,23,1,1,2,1,2
557,1,1,53,10,2,2,1,3
558,1,1,64,32,2,3,3,3
559,1,1,64,30,1,1,3,1
560,1,2,62,32,1,2,3,2
561,1,2,60,32,2,2,3,2
562,1,2,50,50,1,2,3,2
563,1,2,45,45,1,2,1,4
565,1,2,20,15,1,3,1,2
566,1,1,42,37,1,1,1,3
567,1,1,65,65,1,1,3,1
568,1,2,39,10,1,3,1,3
571,1,1,61,61,1,2,3,4
572,1,1,28,28,1,3,1,3
573,1,1,25,15,2,3,1,3
574,1,1,72,35,1,3,3,3
575,1,2,45,40,1,3,1,3
576,1,2,28,6,2,4,1,3
